ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,reinforcePrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,weakA_DamageRate,weakB_DamageRate,weakC_DamageRate,weakD_DamageRate,sleepGuardResist_MaxCorrect,madnessGuardResist_MaxCorrect,saWeaponDamage,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,guardAngle,saDurability,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defSeMaterial1,correctType_Physics,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,blowGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,atkAttribute,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isHeroPointCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,isDiscard,isDrop,showLogCondType,enableThrow,showDialogCondType,disableGemAttr,defSfxMaterial1,wepCollidableType0,wepCollidableType1,postureControlId_Right,postureControlId_Left,traceSfxId0,traceDmyIdHead0,traceDmyIdTail0,traceSfxId1,traceDmyIdHead1,traceDmyIdTail1,traceSfxId2,traceDmyIdHead2,traceDmyIdTail2,traceSfxId3,traceDmyIdHead3,traceDmyIdTail3,traceSfxId4,traceDmyIdHead4,traceDmyIdTail4,traceSfxId5,traceDmyIdHead5,traceDmyIdTail5,traceSfxId6,traceDmyIdHead6,traceDmyIdTail6,traceSfxId7,traceDmyIdHead7,traceDmyIdTail7,defSfxMaterial2,defSeMaterial2,absorpParamId,toughnessCorrectRate,isValidTough_ProtSADmg,isDualBlade,isAutoEquip,isEnableEmergencyStep,invisibleOnRemo,pad2,correctType_Magic,correctType_Fire,correctType_Thunder,weakE_DamageRate,weakF_DamageRate,darkGuardCutRate,attackBaseDark,correctType_Dark,correctType_Poison,sortGroupId,atkAttribute2,sleepGuardResist,madnessGuardResist,correctType_Blood,properLuck,freezeGuardResist,autoReplenishType,swordArtsParamId,correctLuck,arrowBoltEquipId,DerivationLevelType,enchantSfxSize,wepType,physGuardCutRate_MaxCorrect,magGuardCutRate_MaxCorrect,fireGuardCutRate_MaxCorrect,thunGuardCutRate_MaxCorrect,darkGuardCutRate_MaxCorrect,poisonGuardResist_MaxCorrect,diseaseGuardResist_MaxCorrect,bloodGuardResist_MaxCorrect,curseGuardResist_MaxCorrect,freezeGuardResist_MaxCorrect,staminaGuardDef_MaxCorrect,residentSfxId_1,residentSfxId_2,residentSfxId_3,residentSfxId_4,residentSfx_DmyId_1,residentSfx_DmyId_2,residentSfx_DmyId_3,residentSfx_DmyId_4,staminaConsumptionRate,vsPlayerDmgCorrectRate_Physics,vsPlayerDmgCorrectRate_Magic,vsPlayerDmgCorrectRate_Fire,vsPlayerDmgCorrectRate_Thunder,vsPlayerDmgCorrectRate_Dark,vsPlayerDmgCorrectRate_Poison,vsPlayerDmgCorrectRate_Blood,vsPlayerDmgCorrectRate_Freeze,attainmentWepStatusStr,attainmentWepStatusDex,attainmentWepStatusMag,attainmentWepStatusFai,attainmentWepStatusLuc,attackElementCorrectId,saleValue,reinforceShopCategory,maxArrowQuantity,residentSfx_1_IsVisibleForHang,residentSfx_2_IsVisibleForHang,residentSfx_3_IsVisibleForHang,residentSfx_4_IsVisibleForHang,isSoulParamIdChange_model0,isSoulParamIdChange_model1,isSoulParamIdChange_model2,isSoulParamIdChange_model3,wepSeIdOffset,baseChangePrice,levelSyncCorrectId,correctType_Sleep,correctType_Madness,rarity,gemMountType,wepRegainHp,spEffectMsgId0,spEffectMsgId1,spEffectMsgId2,originEquipWep16,originEquipWep17,originEquipWep18,originEquipWep19,originEquipWep20,originEquipWep21,originEquipWep22,originEquipWep23,originEquipWep24,originEquipWep25,vsPlayerDmgCorrectRate_Sleep,vsPlayerDmgCorrectRate_Madness,saGuardCutRate,defMaterialVariationValue,spAttributeVariationValue,stealthAtkRate,vsPlayerDmgCorrectRate_Disease,vsPlayerDmgCorrectRate_Curse,pad
34000000,Finger Seal,0,0,[0|0|0],3400,5600000,0,1.5,0,500,130,100,15,0,0,83,25,15,15,15,-1,-1,-1,-1,-1,-1,0,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,1,1,1,1,15,15,3,1330,11240,0,0,1,10,25,0,0,0,20,60,0,15,1900,-1,-1,0,-1,7,0,8,41,2,3,103,16,0,240,0,15,4,0,0,10,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,16,16,16,1,1,15,0,16,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30000,0,3,1,0,0,0,0,1,0,0,0,1,1300,351,6,6,1,0,20,-1,-1,-1,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,34000000,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34010000,Godslayer's Seal,1,0,[0|0|0],3400,5605000,0,1.5,0,500,130,100,15,0,0,85,25,15,15,15,-1,-1,-1,1922,-1,-1,0,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,1,1,1,1,15,15,3,1331,11241,0,0,1,10,25,0,0,0,20,60,0,15,1900,-1,-1,0,-1,7,0,8,41,2,3,103,16,0,240,0,15,4,0,0,27,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,16,16,16,1,1,15,0,16,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30000,0,3,1,0,0,0,0,1,0,0,0,1,1300,351,6,6,2,0,20,1118,-1,-1,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,34010000,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34020000,Giant's Seal,1,0,[0|0|0],3400,5604000,0,1.5,0,500,130,100,15,0,0,77,25,15,15,15,-1,-1,-1,1923,-1,-1,0,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,1,1,1,1,15,15,3,1332,11242,0,0,1,10,25,0,0,0,20,60,0,15,1900,-1,-1,0,-1,7,0,8,41,2,3,103,16,0,240,0,15,4,0,0,14,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,16,16,16,1,1,15,0,16,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30000,0,3,1,0,0,0,0,1,0,0,0,1,1300,351,6,6,2,0,20,1111,-1,-1,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,34020000,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34030000,Gravel Stone Seal,1,0,[0|0|0],3400,5603000,0,1.5,0,500,130,100,15,0,0,81,25,15,15,15,-1,-1,-1,1924,-1,-1,0,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,1,1,1,1,15,15,3,1333,11243,0,0,1,10,25,0,0,0,20,60,0,15,1900,-1,-1,0,-1,7,0,8,41,2,3,103,16,0,240,0,15,4,0,0,18,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,16,16,16,1,1,15,0,16,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30000,0,3,1,0,0,0,0,1,0,0,0,1,1300,351,6,6,2,0,20,1114,-1,-1,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,34030000,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34040000,Clawmark Seal,0,0,[0|0|0],3400,5606000,0,1.5,0,500,130,100,40,0,0,40,25,15,15,15,-1,-1,-1,1925,-1,-1,0,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,1,1,1,1,15,15,3,1334,11244,0,0,1,10,31,0,0,0,20,60,0,15,1900,-1,-1,0,-1,7,0,8,41,2,3,103,12,0,240,0,15,4,0,0,10,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,12,12,12,1,1,15,0,12,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30020,0,3,1,0,0,0,0,1,0,0,0,1,1300,351,6,6,2,0,20,1113,-1,-1,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,34040000,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34060000,Golden Order Seal,1,0,[0|0|0],3400,5602000,0,0,0,500,50,200,0,0,53,53,25,15,15,15,-1,-1,-1,1926,-1,-1,2200,34060000,34060000,34060000,34060000,34060000,34060000,34060000,34060000,34060000,34060000,34060000,-1,-1,-1,-1,-1,1,1,1,1,15,15,3,1336,11247,0,0,1,10,24,0,0,0,20,60,0,15,2400,-1,-1,0,-1,7,0,8,41,2,3,103,12,0,240,0,15,0,0,17,17,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,12,12,12,1,1,15,0,12,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30010,0,3,1,0,0,0,0,1,0,0,0,1,500,351,6,6,2,0,20,1112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34070000,Erdtree Seal,1,0,[0|0|0],3400,5601000,0,0,0,500,50,200,0,0,0,89,25,15,15,15,-1,-1,-1,-1,-1,-1,2200,34070000,34070000,34070000,34070000,34070000,34070000,34070000,34070000,34070000,34070000,34070000,-1,-1,-1,-1,-1,1,1,1,1,15,15,3,1336,11246,0,0,1,10,25,0,0,0,20,60,0,15,2400,-1,-1,0,-1,7,0,8,41,2,3,103,15,13,240,0,15,0,0,0,40,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,15,15,15,1,1,15,15,15,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490000,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30000,0,3,1,0,0,0,0,1,0,0,0,1,500,351,6,6,2,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34080000,Dragon Communion Seal,1,0,[0|0|0],3400,5608000,0,0,0,500,50,200,0,0,0,30,25,15,15,15,-1,-1,-1,1927,-1,-1,2200,34080000,34080000,34080000,34080000,34080000,34080000,34080000,34080000,34080000,34080000,34080000,-1,-1,-1,-1,-1,1,1,1,1,15,15,3,1336,11248,0,0,1,10,25,0,0,0,20,60,0,15,2400,-1,-1,0,-1,7,0,8,41,2,3,103,12,0,240,0,15,0,0,0,10,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,12,12,12,1,1,15,0,12,11,70,1,10,10,11,10,10,0,10,75,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490020,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30030,0,3,1,0,0,0,0,1,0,0,0,1,500,351,11,11,2,0,20,1115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
34090000,Frenzied Flame Seal,1,0,[0|0|0],3400,5607000,0,0,0,500,50,100,20,20,20,40,25,15,15,15,-1,6750,-1,1928,-1,-1,2200,34090000,34090000,34090000,34090000,34090000,34090000,34090000,34090000,34090000,34090000,34090000,-1,-1,-1,-1,-1,1,1,1,1,15,15,3,1336,11249,0,0,1,10,25,0,0,0,20,60,0,15,2400,-1,-1,0,-1,7,0,8,41,2,3,103,12,0,240,0,15,0,0,0,0,99,0,0,10,60,0,1,0,0,0,10,10,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,109,1,1,0,0,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,41,0.011,0,0,0,1,1,0,12,12,12,1,1,15,0,12,6,70,1,10,10,6,0,10,0,10,0,0,0,0,61,15,15,15,15,15,15,15,15,15,15,0,490030,-1,-1,-1,100,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,30040,0,3,1,0,0,0,0,1,0,0,0,1,500,351,6,6,2,0,20,1116,6700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
23010000,Watchdog's Staff,1,0,[0|0|0],2301,2508000,0,19,0,1500,1100,200,48,30,0,0,75,45,45,45,-1,-1,-1,-1,-1,-1,2200,23010000,23010000,23010000,23010000,23010000,23010000,23010000,23010000,23010000,23010000,23010000,-1,-1,-1,-1,-1,1,1,1,1,15,15,7.5,807,10881,0,0,1,10,165,0,0,0,100,60,0,50,2200,-1,-1,0,-1,7,0,5,31,2,4,155,0,0,0,2,12,34,10,0,0,99,0,0,30,80,0,2,0,0,0,25,25,25,25,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,117,2,2,7,7,401000,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,35,0.099,1,0,0,1,1,0,0,0,0,1,1,45,0,0,6,160,1,25,25,6,0,25,0,1192,0,0,0,4,41,15,15,15,15,15,15,15,15,15,15,0,-1,-1,-1,-1,-1,-1,-1,-1,1.15,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,10000,0,1,1,0,0,0,0,1,0,0,0,6,11000,330,6,6,2,0,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,1,1,[0|0|0|0|0|0|0|0]
